PJMW_MW,Hour,DayOfWeek,Month,Year,DayOfYear,weekofyear,Is_Holiday
6571,17,2,4,2002,107,16,0
6512,18,2,4,2002,107,16,0
6437,19,2,4,2002,107,16,0
6332,20,2,4,2002,107,16,0
6585,21,2,4,2002,107,16,0
6369,22,2,4,2002,107,16,0
5764,23,2,4,2002,107,16,0
5252,0,3,4,2002,108,16,0
4841,1,3,4,2002,108,16,0
4614,2,3,4,2002,108,16,0
4523,3,3,4,2002,108,16,0
4406,4,3,4,2002,108,16,0
4439,5,3,4,2002,108,16,0
4639,6,3,4,2002,108,16,0
5145,7,3,4,2002,108,16,0
5472,8,3,4,2002,108,16,0
5590,9,3,4,2002,108,16,0
5767,10,3,4,2002,108,16,0
6078,11,3,4,2002,108,16,0
6257,12,3,4,2002,108,16,0
6400,13,3,4,2002,108,16,0
6483,14,3,4,2002,108,16,0
6546,15,3,4,2002,108,16,0
6606,16,3,4,2002,108,16,0
6577,17,3,4,2002,108,16,0
6530,18,3,4,2002,108,16,0
6379,19,3,4,2002,108,16,0
6326,20,3,4,2002,108,16,0
6497,21,3,4,2002,108,16,0
6322,22,3,4,2002,108,16,0
5736,23,3,4,2002,108,16,0
5146,0,4,4,2002,109,16,0
4757,1,4,4,2002,109,16,0
4560,2,4,4,2002,109,16,0
4468,3,4,4,2002,109,16,0
4401,4,4,4,2002,109,16,0
4407,5,4,4,2002,109,16,0
4651,6,4,4,2002,109,16,0
5159,7,4,4,2002,109,16,0
5490,8,4,4,2002,109,16,0
5649,9,4,4,2002,109,16,0
5864,10,4,4,2002,109,16,0
6061,11,4,4,2002,109,16,0
6176,12,4,4,2002,109,16,0
6243,13,4,4,2002,109,16,0
6332,14,4,4,2002,109,16,0
6332,15,4,4,2002,109,16,0
6332,16,4,4,2002,109,16,0
6360,17,4,4,2002,109,16,0
6310,18,4,4,2002,109,16,0
6193,19,4,4,2002,109,16,0
6035,20,4,4,2002,109,16,0
6089,21,4,4,2002,109,16,0
5847,22,4,4,2002,109,16,0
5347,23,4,4,2002,109,16,0
4895,0,5,4,2002,110,16,0
4463,1,5,4,2002,110,16,0
4249,2,5,4,2002,110,16,0
4143,3,5,4,2002,110,16,0
4058,4,5,4,2002,110,16,0
4017,5,5,4,2002,110,16,0
4109,6,5,4,2002,110,16,0
4238,7,5,4,2002,110,16,0
4429,8,5,4,2002,110,16,0
4722,9,5,4,2002,110,16,0
5000,10,5,4,2002,110,16,0
5143,11,5,4,2002,110,16,0
5269,12,5,4,2002,110,16,0
5146,13,5,4,2002,110,16,0
5000,14,5,4,2002,110,16,0
4974,15,5,4,2002,110,16,0
4915,16,5,4,2002,110,16,0
4942,17,5,4,2002,110,16,0
4932,18,5,4,2002,110,16,0
4866,19,5,4,2002,110,16,0
4817,20,5,4,2002,110,16,0
5034,21,5,4,2002,110,16,0
4926,22,5,4,2002,110,16,0
4623,23,5,4,2002,110,16,0
4320,0,6,4,2002,111,16,0
4012,1,6,4,2002,111,16,0
3799,2,6,4,2002,111,16,0
3643,3,6,4,2002,111,16,0
3621,4,6,4,2002,111,16,0
3684,5,6,4,2002,111,16,0
3685,6,6,4,2002,111,16,0
3822,7,6,4,2002,111,16,0
3960,8,6,4,2002,111,16,0
4283,9,6,4,2002,111,16,0
4514,10,6,4,2002,111,16,0
4667,11,6,4,2002,111,16,0
4742,12,6,4,2002,111,16,0
4845,13,6,4,2002,111,16,0
4833,14,6,4,2002,111,16,0
4751,15,6,4,2002,111,16,0
4703,16,6,4,2002,111,16,0
4742,17,6,4,2002,111,16,0
4791,18,6,4,2002,111,16,0
4882,19,6,4,2002,111,16,0
4962,20,6,4,2002,111,16,0
5164,21,6,4,2002,111,16,0
5072,22,6,4,2002,111,16,0
4743,23,6,4,2002,111,16,0
4477,0,0,4,2002,112,17,0
4237,1,0,4,2002,112,17,0
4112,2,0,4,2002,112,17,0
4103,3,0,4,2002,112,17,0
4113,4,0,4,2002,112,17,0
4223,5,0,4,2002,112,17,0
4579,6,0,4,2002,112,17,0
5096,7,0,4,2002,112,17,0
5433,8,0,4,2002,112,17,0
5552,9,0,4,2002,112,17,0
5606,10,0,4,2002,112,17,0
5717,11,0,4,2002,112,17,0
5686,12,0,4,2002,112,17,0
5615,13,0,4,2002,112,17,0
5585,14,0,4,2002,112,17,0
5518,15,0,4,2002,112,17,0
5441,16,0,4,2002,112,17,0
5459,17,0,4,2002,112,17,0
5547,18,0,4,2002,112,17,0
5614,19,0,4,2002,112,17,0
5701,20,0,4,2002,112,17,0
5921,21,0,4,2002,112,17,0
5779,22,0,4,2002,112,17,0
5389,23,0,4,2002,112,17,0
5040,0,1,4,2002,113,17,0
4718,1,1,4,2002,113,17,0
4623,2,1,4,2002,113,17,0
4586,3,1,4,2002,113,17,0
4607,4,1,4,2002,113,17,0
4688,5,1,4,2002,113,17,0
4981,6,1,4,2002,113,17,0
5510,7,1,4,2002,113,17,0
5761,8,1,4,2002,113,17,0
5730,9,1,4,2002,113,17,0
5743,10,1,4,2002,113,17,0
5783,11,1,4,2002,113,17,0
5733,12,1,4,2002,113,17,0
5653,13,1,4,2002,113,17,0
5602,14,1,4,2002,113,17,0
5507,15,1,4,2002,113,17,0
5430,16,1,4,2002,113,17,0
5343,17,1,4,2002,113,17,0
5334,18,1,4,2002,113,17,0
5348,19,1,4,2002,113,17,0
5429,20,1,4,2002,113,17,0
5860,21,1,4,2002,113,17,0
5864,22,1,4,2002,113,17,0
5418,23,1,4,2002,113,17,0
5081,0,2,4,2002,114,17,0
4827,1,2,4,2002,114,17,0
4738,2,2,4,2002,114,17,0
4711,3,2,4,2002,114,17,0
4743,4,2,4,2002,114,17,0
4912,5,2,4,2002,114,17,0
5255,6,2,4,2002,114,17,0
5763,7,2,4,2002,114,17,0
5959,8,2,4,2002,114,17,0
5853,9,2,4,2002,114,17,0
5776,10,2,4,2002,114,17,0
5668,11,2,4,2002,114,17,0
5588,12,2,4,2002,114,17,0
5478,13,2,4,2002,114,17,0
5507,14,2,4,2002,114,17,0
5403,15,2,4,2002,114,17,0
5353,16,2,4,2002,114,17,0
5289,17,2,4,2002,114,17,0
5304,18,2,4,2002,114,17,0
5245,19,2,4,2002,114,17,0
5276,20,2,4,2002,114,17,0
5629,21,2,4,2002,114,17,0
5597,22,2,4,2002,114,17,0
5205,23,2,4,2002,114,17,0
4758,0,3,4,2002,115,17,0
4489,1,3,4,2002,115,17,0
4370,2,3,4,2002,115,17,0
4310,3,3,4,2002,115,17,0
4344,4,3,4,2002,115,17,0
4336,5,3,4,2002,115,17,0
4620,6,3,4,2002,115,17,0
5224,7,3,4,2002,115,17,0
5533,8,3,4,2002,115,17,0
5608,9,3,4,2002,115,17,0
5649,10,3,4,2002,115,17,0
5691,11,3,4,2002,115,17,0
5613,12,3,4,2002,115,17,0
5569,13,3,4,2002,115,17,0
5557,14,3,4,2002,115,17,0
5452,15,3,4,2002,115,17,0
5361,16,3,4,2002,115,17,0
5342,17,3,4,2002,115,17,0
5285,18,3,4,2002,115,17,0
5266,19,3,4,2002,115,17,0
5371,20,3,4,2002,115,17,0
5642,21,3,4,2002,115,17,0
5650,22,3,4,2002,115,17,0
5328,23,3,4,2002,115,17,0
4896,0,4,4,2002,116,17,0
4593,1,4,4,2002,116,17,0
4510,2,4,4,2002,116,17,0
4485,3,4,4,2002,116,17,0
4512,4,4,4,2002,116,17,0
4610,5,4,4,2002,116,17,0
4941,6,4,4,2002,116,17,0
5396,7,4,4,2002,116,17,0
5630,8,4,4,2002,116,17,0
5649,9,4,4,2002,116,17,0
5603,10,4,4,2002,116,17,0
5535,11,4,4,2002,116,17,0
5506,12,4,4,2002,116,17,0
5439,13,4,4,2002,116,17,0
5350,14,4,4,2002,116,17,0
5207,15,4,4,2002,116,17,0
5188,16,4,4,2002,116,17,0
5195,17,4,4,2002,116,17,0
5113,18,4,4,2002,116,17,0
5025,19,4,4,2002,116,17,0
5015,20,4,4,2002,116,17,0
5294,21,4,4,2002,116,17,0
5292,22,4,4,2002,116,17,0
5024,23,4,4,2002,116,17,0
4674,0,5,4,2002,117,17,0
4410,1,5,4,2002,117,17,0
4277,2,5,4,2002,117,17,0
4247,3,5,4,2002,117,17,0
4273,4,5,4,2002,117,17,0
4353,5,5,4,2002,117,17,0
4510,6,5,4,2002,117,17,0
4651,7,5,4,2002,117,17,0
4808,8,5,4,2002,117,17,0
4935,9,5,4,2002,117,17,0
5072,10,5,4,2002,117,17,0
5049,11,5,4,2002,117,17,0
4980,12,5,4,2002,117,17,0
4776,13,5,4,2002,117,17,0
4699,14,5,4,2002,117,17,0
4665,15,5,4,2002,117,17,0
4662,16,5,4,2002,117,17,0
4692,17,5,4,2002,117,17,0
4765,18,5,4,2002,117,17,0
4830,19,5,4,2002,117,17,0
4871,20,5,4,2002,117,17,0
5067,21,5,4,2002,117,17,0
4934,22,5,4,2002,117,17,0
4722,23,5,4,2002,117,17,0
4410,0,6,4,2002,118,17,0
4142,1,6,4,2002,118,17,0
3997,2,6,4,2002,118,17,0
3898,3,6,4,2002,118,17,0
3917,4,6,4,2002,118,17,0
3940,5,6,4,2002,118,17,0
3985,6,6,4,2002,118,17,0
4090,7,6,4,2002,118,17,0
4213,8,6,4,2002,118,17,0
4447,9,6,4,2002,118,17,0
4607,10,6,4,2002,118,17,0
4695,11,6,4,2002,118,17,0
4746,12,6,4,2002,118,17,0
4715,13,6,4,2002,118,17,0
4689,14,6,4,2002,118,17,0
4639,15,6,4,2002,118,17,0
4630,16,6,4,2002,118,17,0
4626,17,6,4,2002,118,17,0
4666,18,6,4,2002,118,17,0
4657,19,6,4,2002,118,17,0
4714,20,6,4,2002,118,17,0
4948,21,6,4,2002,118,17,0
4914,22,6,4,2002,118,17,0
4571,23,6,4,2002,118,17,0
4211,0,0,4,2002,119,18,0
4075,1,0,4,2002,119,18,0
3990,2,0,4,2002,119,18,0
3999,3,0,4,2002,119,18,0
4016,4,0,4,2002,119,18,0
4109,5,0,4,2002,119,18,0
4489,6,0,4,2002,119,18,0
5077,7,0,4,2002,119,18,0
5480,8,0,4,2002,119,18,0
5592,9,0,4,2002,119,18,0
5664,10,0,4,2002,119,18,0
5726,11,0,4,2002,119,18,0
5788,12,0,4,2002,119,18,0
5723,13,0,4,2002,119,18,0
5721,14,0,4,2002,119,18,0
5662,15,0,4,2002,119,18,0
5643,16,0,4,2002,119,18,0
5678,17,0,4,2002,119,18,0
5758,18,0,4,2002,119,18,0
5799,19,0,4,2002,119,18,0
5857,20,0,4,2002,119,18,0
5990,21,0,4,2002,119,18,0
5830,22,0,4,2002,119,18,0
5443,23,0,4,2002,119,18,0
5021,0,1,4,2002,120,18,0
4755,1,1,4,2002,120,18,0
4599,2,1,4,2002,120,18,0
4528,3,1,4,2002,120,18,0
4555,4,1,4,2002,120,18,0
4654,5,1,4,2002,120,18,0
4940,6,1,4,2002,120,18,0
5462,7,1,4,2002,120,18,0
5635,8,1,4,2002,120,18,0
5549,9,1,4,2002,120,18,0
5508,10,1,4,2002,120,18,0
5532,11,1,4,2002,120,18,0
5477,12,1,4,2002,120,18,0
5408,13,1,4,2002,120,18,0
5348,14,1,4,2002,120,18,0
5369,15,1,4,2002,120,18,0
5354,16,1,4,2002,120,18,0
5328,17,1,4,2002,120,18,0
5323,18,1,4,2002,120,18,0
5374,19,1,4,2002,120,18,0
5448,20,1,4,2002,120,18,0
5653,21,1,4,2002,120,18,0
5549,22,1,4,2002,120,18,0
5151,23,1,4,2002,120,18,0
4715,0,2,5,2002,121,18,0
4503,1,2,5,2002,121,18,0
4418,2,2,5,2002,121,18,0
4310,3,2,5,2002,121,18,0
4282,4,2,5,2002,121,18,0
4431,5,2,5,2002,121,18,0
4732,6,2,5,2002,121,18,0
5172,7,2,5,2002,121,18,0
5479,8,2,5,2002,121,18,0
5529,9,2,5,2002,121,18,0
5459,10,2,5,2002,121,18,0
5448,11,2,5,2002,121,18,0
5448,12,2,5,2002,121,18,0
5408,13,2,5,2002,121,18,0
5379,14,2,5,2002,121,18,0
5346,15,2,5,2002,121,18,0
5291,16,2,5,2002,121,18,0
5297,17,2,5,2002,121,18,0
5262,18,2,5,2002,121,18,0
5236,19,2,5,2002,121,18,0
5294,20,2,5,2002,121,18,0
5609,21,2,5,2002,121,18,0
5528,22,2,5,2002,121,18,0
5130,23,2,5,2002,121,18,0
4673,0,3,5,2002,122,18,0
4392,1,3,5,2002,122,18,0
4251,2,3,5,2002,122,18,0
4214,3,3,5,2002,122,18,0
4180,4,3,5,2002,122,18,0
4275,5,3,5,2002,122,18,0
4568,6,3,5,2002,122,18,0
5054,7,3,5,2002,122,18,0
5295,8,3,5,2002,122,18,0
5371,9,3,5,2002,122,18,0
5473,10,3,5,2002,122,18,0
5626,11,3,5,2002,122,18,0
5674,12,3,5,2002,122,18,0
5688,13,3,5,2002,122,18,0
5720,14,3,5,2002,122,18,0
5732,15,3,5,2002,122,18,0
5696,16,3,5,2002,122,18,0
5706,17,3,5,2002,122,18,0
5629,18,3,5,2002,122,18,0
5569,19,3,5,2002,122,18,0
5560,20,3,5,2002,122,18,0
5687,21,3,5,2002,122,18,0
5629,22,3,5,2002,122,18,0
5198,23,3,5,2002,122,18,0
4737,0,4,5,2002,123,18,0
