,Forecast_MW
2018-08-15 02:00:00,4526.847
2018-08-15 03:00:00,4442.4707
2018-08-15 04:00:00,4465.8047
2018-08-15 05:00:00,4575.1104
2018-08-15 06:00:00,4846.0933
2018-08-15 07:00:00,5264.3823
2018-08-15 08:00:00,5512.7915
2018-08-15 09:00:00,5656.6167
2018-08-15 10:00:00,5796.424
2018-08-15 11:00:00,6082.819
2018-08-15 12:00:00,6287.392
2018-08-15 13:00:00,6362.8394
2018-08-15 14:00:00,6436.8936
2018-08-15 15:00:00,6480.7295
2018-08-15 16:00:00,6528.04
2018-08-15 17:00:00,6512.6797
2018-08-15 18:00:00,6525.0044
2018-08-15 19:00:00,6407.0566
2018-08-15 20:00:00,6294.014
2018-08-15 21:00:00,6245.4976
2018-08-15 22:00:00,6056.349
2018-08-15 23:00:00,5732.3774
2018-08-16 00:00:00,5267.8774
2018-08-16 01:00:00,4794.99
2018-08-16 02:00:00,4534.234
2018-08-16 03:00:00,4449.8574
2018-08-16 04:00:00,4472.4097
2018-08-16 05:00:00,4579.4443
2018-08-16 06:00:00,4850.4272
2018-08-16 07:00:00,5264.725
2018-08-16 08:00:00,5507.342
2018-08-16 09:00:00,5651.167
2018-08-16 10:00:00,5794.0684
2018-08-16 11:00:00,6075.7236
2018-08-16 12:00:00,6275.0303
2018-08-16 13:00:00,6349.4883
2018-08-16 14:00:00,6423.5425
2018-08-16 15:00:00,6467.3784
2018-08-16 16:00:00,6514.689
2018-08-16 17:00:00,6496.7495
2018-08-16 18:00:00,6509.5195
2018-08-16 19:00:00,6384.912
2018-08-16 20:00:00,6271.0103
2018-08-16 21:00:00,6222.4937
2018-08-16 22:00:00,6052.8853
2018-08-16 23:00:00,5746.123
2018-08-17 00:00:00,5264.4385
2018-08-17 01:00:00,4804.444
2018-08-17 02:00:00,4541.306
2018-08-17 03:00:00,4456.9297
2018-08-17 04:00:00,4479.482
2018-08-17 05:00:00,4578.929
2018-08-17 06:00:00,4839.4873
2018-08-17 07:00:00,5237.8013
2018-08-17 08:00:00,5480.418
2018-08-17 09:00:00,5627.422
2018-08-17 10:00:00,5773.055
2018-08-17 11:00:00,6052.96
2018-08-17 12:00:00,6252.2666
2018-08-17 13:00:00,6326.7246
2018-08-17 14:00:00,6400.779
2018-08-17 15:00:00,6444.6147
2018-08-17 16:00:00,6490.1206
2018-08-17 17:00:00,6457.3667
2018-08-17 18:00:00,6478.871
2018-08-17 19:00:00,6352.1284
2018-08-17 20:00:00,6225.225
2018-08-17 21:00:00,6177.3335
2018-08-17 22:00:00,5993.3955
2018-08-17 23:00:00,5711.3213
2018-08-18 00:00:00,5227.9165
2018-08-18 01:00:00,4802.2954
2018-08-18 02:00:00,4520.984
2018-08-18 03:00:00,4417.243
2018-08-18 04:00:00,4423.1333
2018-08-18 05:00:00,4510.2114
2018-08-18 06:00:00,4699.806
2018-08-18 07:00:00,4940.9233
2018-08-18 08:00:00,5150.6436
2018-08-18 09:00:00,5415.274
2018-08-18 10:00:00,5634.523
2018-08-18 11:00:00,5960.181
2018-08-18 12:00:00,6192.3975
2018-08-18 13:00:00,6281.6797
2018-08-18 14:00:00,6352.5186
2018-08-18 15:00:00,6396.3545
2018-08-18 16:00:00,6466.2417
2018-08-18 17:00:00,6468.5537
2018-08-18 18:00:00,6538.1943
2018-08-18 19:00:00,6413.587
2018-08-18 20:00:00,6296.3325
2018-08-18 21:00:00,6260.903
2018-08-18 22:00:00,6101.5684
2018-08-18 23:00:00,5867.9785
2018-08-19 00:00:00,5307.268
2018-08-19 01:00:00,4872.9565
2018-08-19 02:00:00,4554.5015
2018-08-19 03:00:00,4437.0835
2018-08-19 04:00:00,4442.0786
2018-08-19 05:00:00,4494.7476
2018-08-19 06:00:00,4661.9893
2018-08-19 07:00:00,4904.645
2018-08-19 08:00:00,5115.599
2018-08-19 09:00:00,5393.362
2018-08-19 10:00:00,5643.1255
2018-08-19 11:00:00,5991.6514
2018-08-19 12:00:00,6257.044
2018-08-19 13:00:00,6392.9824
2018-08-19 14:00:00,6465.7295
2018-08-19 15:00:00,6511.33
2018-08-19 16:00:00,6567.0493
2018-08-19 17:00:00,6616.6265
2018-08-19 18:00:00,6712.375
2018-08-19 19:00:00,6589.025
2018-08-19 20:00:00,6473.7427
2018-08-19 21:00:00,6438.313
2018-08-19 22:00:00,6235.416
2018-08-19 23:00:00,5854.027
2018-08-20 00:00:00,5606.883
2018-08-20 01:00:00,5180.14
2018-08-20 02:00:00,4940.681
2018-08-20 03:00:00,4859.805
2018-08-20 04:00:00,4844.0283
2018-08-20 05:00:00,4886.848
2018-08-20 06:00:00,5264.454
2018-08-20 07:00:00,5671.7446
2018-08-20 08:00:00,5891.312
2018-08-20 09:00:00,5968.7017
2018-08-20 10:00:00,6067.7456
2018-08-20 11:00:00,6340.4087
2018-08-20 12:00:00,6525.904
2018-08-20 13:00:00,6595.6147
